Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 109, loss: 1.168397, train acc: 0.585362, train avg acc: 0.182722
Test 109, loss: 1.132477, test acc: 0.602043, test avg acc: 0.184114
Train 110, loss: 1.173140, train acc: 0.587750, train avg acc: 0.183214
Test 110, loss: 1.249381, test acc: 0.504153, test avg acc: 0.147969
Train 111, loss: 1.221130, train acc: 0.558818, train avg acc: 0.175182
Test 111, loss: 1.313564, test acc: 0.455235, test avg acc: 0.144659
Train 112, loss: 1.185779, train acc: 0.569522, train avg acc: 0.178617
Test 112, loss: 1.135855, test acc: 0.573045, test avg acc: 0.192456
Train 113, loss: 1.192446, train acc: 0.570473, train avg acc: 0.178703
Test 113, loss: 1.137175, test acc: 0.582896, test avg acc: 0.181783
Train 114, loss: 1.186577, train acc: 0.577452, train avg acc: 0.180813
Test 114, loss: 2.183602, test acc: 0.446758, test avg acc: 0.161363
Train 115, loss: 1.170514, train acc: 0.582764, train avg acc: 0.182869
Test 115, loss: 1.178498, test acc: 0.593042, test avg acc: 0.186736
Train 116, loss: 1.142854, train acc: 0.597375, train avg acc: 0.188304
Test 116, loss: 1.205587, test acc: 0.554361, test avg acc: 0.174652
Train 117, loss: 1.146214, train acc: 0.597946, train avg acc: 0.187150
Test 117, loss: 1.113526, test acc: 0.588926, test avg acc: 0.165145
Train 118, loss: 1.125832, train acc: 0.608027, train avg acc: 0.188747
Test 118, loss: 1.059150, test acc: 0.640960, test avg acc: 0.206674
Train 119, loss: 1.134449, train acc: 0.607184, train avg acc: 0.190493
Test 119, loss: 1.143556, test acc: 0.575502, test avg acc: 0.189991
Train 120, loss: 1.132349, train acc: 0.604825, train avg acc: 0.191241
Test 120, loss: 1.132053, test acc: 0.596208, test avg acc: 0.179905
Train 121, loss: 1.133804, train acc: 0.607445, train avg acc: 0.190418
Test 121, loss: 1.065043, test acc: 0.633631, test avg acc: 0.202513
Train 122, loss: 1.125966, train acc: 0.613025, train avg acc: 0.192995
Test 122, loss: 1.163262, test acc: 0.580768, test avg acc: 0.163772
Train 123, loss: 1.122640, train acc: 0.608361, train avg acc: 0.188213
Test 123, loss: 1.131650, test acc: 0.592358, test avg acc: 0.166905
Train 124, loss: 1.138569, train acc: 0.599903, train avg acc: 0.186856
Test 124, loss: 1.139707, test acc: 0.587089, test avg acc: 0.165269
Train 125, loss: 1.096892, train acc: 0.624764, train avg acc: 0.195891
Test 125, loss: 1.143632, test acc: 0.580806, test avg acc: 0.170971
Train 126, loss: 1.123746, train acc: 0.610961, train avg acc: 0.190551
Test 126, loss: 1.073032, test acc: 0.630374, test avg acc: 0.195576
Train 127, loss: 1.102222, train acc: 0.623033, train avg acc: 0.195240
Test 127, loss: 1.122090, test acc: 0.599124, test avg acc: 0.170021
Train 128, loss: 1.119360, train acc: 0.604326, train avg acc: 0.188804
Test 128, loss: 1.060699, test acc: 0.651314, test avg acc: 0.207269
Train 129, loss: 1.105010, train acc: 0.622678, train avg acc: 0.195400
Test 129, loss: 1.067615, test acc: 0.614243, test avg acc: 0.205579
Train 130, loss: 1.118579, train acc: 0.611399, train avg acc: 0.192049
Test 130, loss: 1.459686, test acc: 0.479400, test avg acc: 0.165161
Train 131, loss: 1.152776, train acc: 0.589369, train avg acc: 0.185246
Test 131, loss: 1.102550, test acc: 0.616380, test avg acc: 0.199530
Train 132, loss: 1.126643, train acc: 0.609780, train avg acc: 0.190558
Test 132, loss: 1.088470, test acc: 0.621181, test avg acc: 0.195326
Train 133, loss: 1.121885, train acc: 0.603260, train avg acc: 0.188563
Test 133, loss: 1.040835, test acc: 0.646019, test avg acc: 0.208052
Train 134, loss: 1.104245, train acc: 0.610570, train avg acc: 0.189554
Test 134, loss: 1.066291, test acc: 0.620368, test avg acc: 0.201212
Train 135, loss: 1.116483, train acc: 0.619364, train avg acc: 0.195587
Test 135, loss: 1.150535, test acc: 0.604923, test avg acc: 0.198875
Train 136, loss: 1.093638, train acc: 0.625333, train avg acc: 0.197610
Test 136, loss: 1.112301, test acc: 0.600412, test avg acc: 0.168547
Train 137, loss: 1.084680, train acc: 0.627902, train avg acc: 0.198133
Test 137, loss: 1.098112, test acc: 0.605734, test avg acc: 0.196280
Train 138, loss: 1.088260, train acc: 0.624733, train avg acc: 0.196603
Test 138, loss: 1.084670, test acc: 0.641041, test avg acc: 0.206630
Train 139, loss: 1.101600, train acc: 0.624623, train avg acc: 0.196623
Test 139, loss: 1.500443, test acc: 0.533348, test avg acc: 0.157283
Train 140, loss: 1.110228, train acc: 0.618561, train avg acc: 0.194556
Test 140, loss: 1.925886, test acc: 0.541824, test avg acc: 0.192634
Train 141, loss: 1.107168, train acc: 0.621673, train avg acc: 0.195816
Test 141, loss: 1.192800, test acc: 0.559964, test avg acc: 0.189859
Train 142, loss: 1.076082, train acc: 0.628087, train avg acc: 0.197216
Test 142, loss: 1.027072, test acc: 0.654457, test avg acc: 0.197930
Train 143, loss: 1.067493, train acc: 0.640819, train avg acc: 0.202227
Test 143, loss: 1.035595, test acc: 0.634549, test avg acc: 0.211104
Train 144, loss: 1.071684, train acc: 0.639835, train avg acc: 0.202965
Test 144, loss: 1.157189, test acc: 0.583572, test avg acc: 0.193340
Train 145, loss: 1.104628, train acc: 0.624153, train avg acc: 0.196556
Test 145, loss: 1.085337, test acc: 0.612778, test avg acc: 0.203401
Train 146, loss: 1.070958, train acc: 0.637104, train avg acc: 0.201227
Test 146, loss: 1.167204, test acc: 0.582994, test avg acc: 0.194652
Train 147, loss: 1.073632, train acc: 0.633639, train avg acc: 0.200294
Test 147, loss: 1.012077, test acc: 0.676683, test avg acc: 0.216259
Train 148, loss: 1.073127, train acc: 0.641373, train avg acc: 0.203398
Test 148, loss: 1.090631, test acc: 0.640890, test avg acc: 0.194216
Train 149, loss: 1.088200, train acc: 0.628390, train avg acc: 0.198533
Test 149, loss: 1.073783, test acc: 0.629623, test avg acc: 0.209343
Train 150, loss: 1.100689, train acc: 0.625744, train avg acc: 0.198317
Test 150, loss: 1.098264, test acc: 0.612486, test avg acc: 0.185391
Train 151, loss: 1.067842, train acc: 0.640712, train avg acc: 0.202144
Test 151, loss: 1.015547, test acc: 0.664389, test avg acc: 0.213635
Train 152, loss: 1.064137, train acc: 0.641096, train avg acc: 0.203063
Test 152, loss: 1.174092, test acc: 0.587146, test avg acc: 0.169627
Train 153, loss: 1.072984, train acc: 0.637872, train avg acc: 0.201443
Test 153, loss: 1.076901, test acc: 0.606686, test avg acc: 0.177244
Train 154, loss: 1.089863, train acc: 0.628741, train avg acc: 0.198128
Test 154, loss: 1.033047, test acc: 0.644421, test avg acc: 0.208584
Train 155, loss: 1.088396, train acc: 0.632262, train avg acc: 0.199730
Test 155, loss: 1.103786, test acc: 0.598314, test avg acc: 0.187486
Train 156, loss: 1.074256, train acc: 0.635310, train avg acc: 0.201527
Test 156, loss: 1.061957, test acc: 0.634509, test avg acc: 0.210115
Train 157, loss: 1.068186, train acc: 0.635941, train avg acc: 0.200697
Test 157, loss: 1.036710, test acc: 0.625604, test avg acc: 0.186369
Train 158, loss: 1.072714, train acc: 0.638194, train avg acc: 0.201113
Test 158, loss: 1.036804, test acc: 0.646649, test avg acc: 0.196703
Train 159, loss: 1.083216, train acc: 0.626376, train avg acc: 0.197076
Test 159, loss: 1.081212, test acc: 0.593420, test avg acc: 0.168929
Train 160, loss: 1.062893, train acc: 0.637644, train avg acc: 0.200595
Test 160, loss: 1.086125, test acc: 0.615008, test avg acc: 0.182512
Train 161, loss: 1.060832, train acc: 0.636598, train avg acc: 0.199709
Test 161, loss: 1.132099, test acc: 0.580613, test avg acc: 0.165709
Train 162, loss: 1.087492, train acc: 0.629397, train avg acc: 0.198375
Test 162, loss: 1.099670, test acc: 0.596834, test avg acc: 0.201378
Train 163, loss: 1.054856, train acc: 0.644332, train avg acc: 0.203948
Test 163, loss: 1.052151, test acc: 0.648875, test avg acc: 0.213164
Train 164, loss: 1.056072, train acc: 0.644312, train avg acc: 0.202657
Test 164, loss: 0.996336, test acc: 0.666855, test avg acc: 0.210444
Train 165, loss: 1.054887, train acc: 0.645115, train avg acc: 0.203138
Test 165, loss: 0.998996, test acc: 0.683647, test avg acc: 0.214322
Train 166, loss: 1.051098, train acc: 0.646102, train avg acc: 0.203984
Test 166, loss: 1.115074, test acc: 0.588595, test avg acc: 0.168776
Train 167, loss: 1.057594, train acc: 0.641400, train avg acc: 0.202706
Test 167, loss: 0.985980, test acc: 0.679299, test avg acc: 0.214608
Train 168, loss: 1.064108, train acc: 0.637490, train avg acc: 0.200128
Test 168, loss: 1.221462, test acc: 0.577350, test avg acc: 0.191300
Train 169, loss: 1.065035, train acc: 0.636212, train avg acc: 0.200533
Test 169, loss: 1.039808, test acc: 0.632089, test avg acc: 0.208699
Train 170, loss: 1.057232, train acc: 0.638538, train avg acc: 0.201187
Test 170, loss: 1.048673, test acc: 0.623258, test avg acc: 0.201908
Train 171, loss: 1.075351, train acc: 0.636024, train avg acc: 0.201040
Test 171, loss: 0.994768, test acc: 0.678888, test avg acc: 0.219235
Train 172, loss: 1.065419, train acc: 0.640828, train avg acc: 0.202565
Test 172, loss: 1.079136, test acc: 0.602774, test avg acc: 0.171118
Train 173, loss: 1.047018, train acc: 0.642746, train avg acc: 0.202574
Test 173, loss: 0.999208, test acc: 0.668636, test avg acc: 0.217357
Train 174, loss: 1.035165, train acc: 0.652728, train avg acc: 0.206727
Test 174, loss: 0.998339, test acc: 0.675206, test avg acc: 0.212605
Train 175, loss: 1.035418, train acc: 0.653968, train avg acc: 0.207540
Test 175, loss: 0.964170, test acc: 0.690534, test avg acc: 0.220759
